 User Name ,Age,Account Balance ,Status
User_AB2831,,4875.25,404
User_AB3392,38.0,1383.33,500
User_AB3940,50.0,1923.33,500
User_AB9123,50.0,473.84,Error
User_AB8403,54.0,665.15,500
User_AB3204,29.0,1298.96,500
User_AB3949,33.0,2595.09,200
User_AB5804,,841.65,500
User_AB9877,26.0,385.27,404
,44.0,4477.43,404
User_AB7812,30.0,1145.31,404
User_AB3110,47.0,2836.11,200
User_AB7790,23.0,3690.7,Pending
User_AB3947,54.0,4781.58,404
User_AB3510,,1374.74,500
User_AB1208,42.0,402.52,200
User_AB8113,43.0,1475.27,Error
User_AB5858,51.0,4500.23,500
User_AB2705,49.0,3137.7,200
User_AB6858,55.0,4164.6,404
User_AB2579,34.0,539.64,200
User_AB3526,24.0,1885.79,200
User_AB6464,60.0,687.18,200
User_AB2817,51.0,3550.03,500
User_AB5993,64.0,4553.82,404
User_AB9425,39.0,4972.0,404
User_AB2208,51.0,1587.42,200
User_AB5842,40.0,270.67,404
User_AB6762,39.0,3092.03,404
User_AB9756,20.0,2187.13,200
User_AB1368,58.0,1222.87,500
User_AB6837,35.0,1166.02,404
User_AB7353,58.0,3276.51,404
User_AB9677,56.0,402.83,200
User_AB5162,37.0,4196.69,200
User_AB5468,32.0,269.91,404
User_AB8685,30.0,1162.3,404
User_AB9691,59.0,4623.26,200
User_AB6982,45.0,1144.86,404
User_AB7183,52.0,1120.8,200
User_AB8685,30.0,1162.3,404
User_AB9522,25.0,4013.42,200
User_AB7097,54.0,3527.44,500
User_AB7730,19.0,1458.58,404
User_AB6287,65.0,2557.72,404
User_AB5485,37.0,936.8,404
User_AB9335,35.0,1855.14,500
User_AB2591,28.0,3825.18,200
User_AB2100,19.0,2758.48,200
User_AB4517,,2270.32,500
User_AB9552,,962.21,200
User_AB4057,34.0,1770.11,500
User_AB3420,24.0,3337.06,500
User_AB4715,42.0,3491.63,200
User_AB6635,53.0,1662.23,500
User_AB7256,65.0,150.42,200
User_AB6991,30.0,748.48,404
User_AB6607,47.0,2690.94,200
User_AB9686,63.0,4635.84,200
User_AB6295,36.0,4338.26,500
User_AB7222,19.0,133.35,200
User_AB5753,40.0,4852.44,500
,23.0,2488.42,500
User_AB6678,51.0,324.72,404
User_AB6852,53.0,3340.98,500
User_AB3226,36.0,4687.46,500
User_AB2188,,2922.7,500
User_AB6843,38.0,3448.9,404
User_AB7878,43.0,2641.88,500
User_AB7908,24.0,4540.45,500
User_AB3996,36.0,417.28,200
User_AB3255,59.0,2354.71,500
User_AB5105,28.0,3727.93,200
User_AB8843,42.0,2428.8,404
User_AB9564,33.0,4175.73,500
User_AB1813,60.0,4930.48,500
User_AB3014,32.0,1538.78,200
User_AB6626,52.0,4646.22,404
User_AB2910,55.0,2366.19,404
User_AB7719,23.0,4164.3,500
User_AB4420,,2185.9,500
User_AB9664,34.0,4980.96,500
User_AB7821,,460.87,200
User_AB3957,,1366.12,404
User_AB4983,28.0,2065.29,200
User_AB1722,,711.51,500
User_AB9707,63.0,2772.94,404
User_AB8609,31.0,4035.2,200
User_AB8624,53.0,350.0,404
User_AB5961,,2211.21,200
User_AB1121,22.0,4262.85,500
User_AB5090,27.0,1238.87,404
User_AB3959,28.0,4391.68,200
User_AB5184,26.0,925.45,200
User_AB8198,59.0,4702.23,500
User_AB8227,58.0,4140.93,500
User_AB2407,53.0,4415.34,404
User_AB9034,25.0,1207.09,500
,23.0,1074.72,200
User_AB7163,29.0,2775.01,500
,25.0,409.91,500
User_AB4532,46.0,758.89,500
User_AB3161,55.0,3627.23,404
User_AB8941,29.0,3190.78,200
User_AB6081,45.0,789.23,500
User_AB6096,57.0,4406.79,404
User_AB4352,56.0,4521.65,404
User_AB4079,46.0,2654.32,200
User_AB7383,55.0,4664.0,500
User_AB3412,50.0,3934.34,200
User_AB3356,24.0,4996.56,200
User_AB2775,55.0,4902.86,OK
User_AB3558,44.0,1436.78,200
User_AB3644,47.0,1444.59,200
User_AB7391,65.0,1836.73,OK
User_AB3898,20.0,1954.02,500
User_AB6856,40.0,815.93,200
User_AB1370,27.0,3079.11,500
User_AB1553,38.0,1924.58,200
User_AB9451,49.0,581.91,500
User_AB9356,25.0,3709.95,404
User_AB8613,43.0,536.67,200
User_AB2007,27.0,4752.23,500
User_AB8943,53.0,3180.33,200
User_AB9627,34.0,1531.48,200
User_AB6205,19.0,4069.61,404
User_AB6371,55.0,2705.96,200
User_AB3851,23.0,3382.57,500
User_AB4214,36.0,3490.98,404
User_AB5826,30.0,3399.39,200
User_AB5836,34.0,923.44,500
User_AB5446,25.0,974.09,500
User_AB7279,29.0,3644.93,500
User_AB4073,45.0,4646.17,404
User_AB2174,44.0,1709.47,404
User_AB9408,45.0,4587.24,500
User_AB8559,59.0,1741.74,200
User_AB6463,32.0,1991.32,500
User_AB7728,31.0,4762.5,404
User_AB9682,33.0,1253.73,404
User_AB1407,24.0,2956.28,Pending
User_AB9893,49.0,4072.29,200
User_AB5388,42.0,2213.74,404
User_AB3776,60.0,511.0,200
User_AB7545,42.0,3382.08,404
User_AB5450,53.0,3499.03,200
User_AB7162,41.0,2916.25,404
User_AB5981,22.0,1259.15,404
User_AB6031,31.0,3353.03,500
User_AB5870,54.0,382.01,404
User_AB3556,,2998.59,200
User_AB8979,23.0,2109.09,500
User_AB7750,46.0,2213.5,500
User_AB8316,62.0,4995.23,500
User_AB7317,40.0,1908.12,200
User_AB1617,18.0,4329.12,500
,51.0,2383.31,500
User_AB2307,56.0,3025.74,200
,64.0,111.34,404
,32.0,445.82,404
User_AB4593,23.0,3192.56,500
User_AB4284,50.0,771.24,500
User_AB8572,56.0,4407.46,500
User_AB2010,33.0,4114.49,200
User_AB2076,42.0,3485.86,200
User_AB2715,37.0,2582.54,404
User_AB2158,58.0,4391.24,200
,52.0,2865.24,500
User_AB4161,,3510.26,404
User_AB7628,57.0,3088.35,404
User_AB5564,,188.1,500
User_AB3042,65.0,2398.1,200
User_AB9865,21.0,4231.18,404
User_AB8041,25.0,3852.7,200
User_AB8696,57.0,2468.22,200
User_AB2496,34.0,391.47,500
User_AB3846,48.0,3949.15,200
User_AB9951,52.0,2181.75,200
User_AB8610,47.0,2271.6,404
User_AB8095,,1233.19,200
User_AB7751,,1530.81,404
User_AB3233,42.0,3346.24,200
User_AB5217,40.0,4781.77,404
User_AB1670,21.0,130.72,404
User_AB9526,50.0,137.66,404
User_AB3843,55.0,4889.08,200
User_AB5590,38.0,2476.98,200
User_AB6839,37.0,997.36,404
User_AB9003,29.0,531.35,200
User_AB7233,27.0,700.21,404
User_AB4441,40.0,1836.95,500
User_AB7871,19.0,4431.08,500
User_AB2240,39.0,3936.92,500
User_AB2503,22.0,2698.42,500
User_AB8400,,318.46,200
User_AB3793,20.0,3090.65,200
User_AB8799,,2864.24,200
User_AB7917,65.0,3007.63,200
User_AB8772,,1795.02,200
User_AB4594,52.0,3001.68,200
User_AB7628,28.0,806.93,200
User_AB1436,62.0,3581.4,200
User_AB8185,51.0,1711.79,200
User_AB1245,26.0,4483.28,404
User_AB8112,41.0,4528.38,200
User_AB1586,52.0,2791.18,404
,65.0,4045.66,200
,34.0,3987.93,404
User_AB9828,44.0,2523.86,500
User_AB6545,39.0,3414.71,500
User_AB1953,58.0,2615.4,200
User_AB6023,25.0,4242.3,200
User_AB4964,46.0,964.37,Error
User_AB8446,44.0,2889.53,404
User_AB4059,,1708.18,404
User_AB9241,51.0,247.59,404
User_AB1569,25.0,3596.05,404
User_AB3094,30.0,1639.62,200
User_AB5756,35.0,3275.49,500
User_AB9835,,1243.04,500
User_AB2083,18.0,2592.88,404
User_AB7802,58.0,3896.79,200
User_AB4519,53.0,2454.06,500
User_AB7599,50.0,4119.13,404
User_AB9709,45.0,1177.26,404
User_AB7807,28.0,1368.81,404
User_AB6951,,2407.87,200
User_AB8899,34.0,1409.08,200
User_AB2819,30.0,2436.94,Pending
User_AB9327,48.0,1238.18,500
User_AB4208,59.0,2873.17,200
User_AB1766,44.0,2359.26,200
User_AB2241,46.0,3679.73,500
User_AB4459,55.0,2986.31,404
User_AB8801,43.0,1629.23,200
User_AB2891,61.0,927.4,200
User_AB6021,45.0,2286.05,200
User_AB9941,45.0,3967.14,404
User_AB9722,,4881.18,404
User_AB2610,41.0,1851.49,500
User_AB3326,35.0,936.75,Pending
User_AB3830,40.0,4341.96,500
User_AB3227,25.0,4017.67,200
User_AB6829,23.0,3062.65,200
User_AB7008,52.0,2312.32,500
User_AB9077,56.0,676.65,500
User_AB1059,43.0,1237.36,Pending
User_AB3547,38.0,972.01,404
User_AB9499,44.0,1788.39,404
User_AB1748,19.0,3394.51,500
User_AB8619,33.0,2291.84,OK
User_AB9974,21.0,4817.29,500
User_AB8412,36.0,4028.63,404
User_AB1826,62.0,4904.89,500
User_AB9166,32.0,1988.48,500
User_AB8029,51.0,3314.4,200
User_AB6973,43.0,3173.84,404
User_AB2328,31.0,1127.61,500
User_AB6162,22.0,250.66,404
,,3211.22,500
User_AB7956,41.0,465.88,200
User_AB8653,22.0,425.35,404
User_AB6033,,2752.38,404
User_AB5879,61.0,3423.62,500
User_AB4234,31.0,1710.59,Error
User_AB7068,47.0,1708.4,200
User_AB1339,51.0,3045.82,200
User_AB1640,41.0,4191.97,500
User_AB6466,56.0,4630.18,200
User_AB7194,39.0,486.4,404
User_AB5466,39.0,4004.49,500
User_AB8769,27.0,1952.14,404
User_AB9274,33.0,3148.78,404
User_AB9552,,962.21,200
User_AB6077,45.0,4533.52,500
User_AB1746,52.0,824.82,200
User_AB5624,50.0,420.51,200
User_AB1741,28.0,1894.37,404
User_AB3650,27.0,3189.81,500
User_AB1560,47.0,4082.4,500
User_AB1080,29.0,4319.46,500
User_AB4683,,1199.85,Error
User_AB4946,24.0,3493.34,200
User_AB2870,46.0,207.83,200
User_AB4461,,4933.67,200
User_AB5818,24.0,1353.5,404
User_AB1339,38.0,682.76,500
User_AB5969,40.0,3918.97,500
User_AB3058,34.0,2719.47,500
User_AB1238,47.0,4368.39,200
User_AB8769,27.0,1952.14,404
User_AB9721,54.0,4043.07,404
User_AB8651,57.0,3568.01,500
User_AB8669,62.0,899.99,404
User_AB7925,,3169.56,500
User_AB8151,55.0,626.46,200
User_AB8212,,1726.5,200
,62.0,1407.69,OK
User_AB6795,,815.91,200
User_AB8624,,3672.62,200
User_AB9180,43.0,896.9,200
User_AB6647,41.0,2696.89,OK
User_AB5244,27.0,1091.04,404
User_AB6733,34.0,4274.17,500
,,674.16,500
User_AB5343,22.0,2142.33,404
User_AB9985,23.0,1107.81,200
,,763.74,404
User_AB1032,,3899.26,404
User_AB9455,33.0,707.91,200
User_AB9358,65.0,1051.68,404
User_AB2775,59.0,1426.74,404
User_AB4840,18.0,540.06,500
User_AB6289,43.0,4009.27,200
User_AB4336,36.0,1846.21,500
User_AB9387,58.0,2196.34,200
User_AB8773,,2249.77,404
User_AB8934,49.0,1730.72,200
User_AB1359,46.0,1841.04,404
User_AB3419,25.0,1954.9,200
User_AB9349,24.0,1962.59,500
User_AB1891,47.0,429.53,404
User_AB3173,50.0,4659.18,404
User_AB3850,53.0,2034.65,500
User_AB1377,49.0,1815.01,404
User_AB8491,65.0,3048.13,200
,46.0,4469.29,404
User_AB5608,24.0,1412.27,404
User_AB1645,60.0,4723.32,500
User_AB6960,34.0,459.87,404
User_AB2390,54.0,4282.06,200
User_AB5167,20.0,3184.33,500
User_AB4206,52.0,4388.7,500
User_AB6516,63.0,3921.52,500
User_AB5626,34.0,985.01,404
User_AB9396,24.0,1758.28,500
User_AB9698,39.0,2530.14,200
User_AB1676,54.0,1771.48,200
User_AB1591,34.0,198.39,500
User_AB3122,25.0,1534.68,404
User_AB1627,,3709.01,404
User_AB8171,63.0,4766.31,200
User_AB2636,35.0,1343.7,404
User_AB3862,22.0,3004.18,200
User_AB8009,54.0,4275.72,404
User_AB2626,52.0,4372.65,200
User_AB5855,28.0,686.11,500
User_AB9868,47.0,4335.95,404
User_AB1094,21.0,620.92,200
User_AB8402,,1313.34,200
User_AB7707,55.0,1289.0,500
User_AB1556,50.0,2029.68,200
User_AB7699,27.0,3878.12,404
User_AB5974,43.0,417.54,200
User_AB5431,47.0,3605.29,404
User_AB3851,,4461.96,500
User_AB5361,18.0,773.61,500
User_AB2346,45.0,3063.21,404
User_AB6793,45.0,2893.31,404
User_AB5186,52.0,2297.09,200
User_AB3617,,699.33,200
User_AB1151,34.0,2664.34,404
User_AB4687,50.0,3596.88,500
User_AB6439,57.0,2054.55,404
User_AB3482,59.0,196.14,500
User_AB6702,36.0,2668.01,200
User_AB2769,19.0,1947.47,404
User_AB2384,34.0,2060.96,404
User_AB1168,,2129.08,404
User_AB2019,64.0,1305.27,500
User_AB7372,42.0,1441.66,200
User_AB1558,28.0,3167.01,404
User_AB8799,52.0,1012.95,500
User_AB2839,30.0,3589.63,500
User_AB9426,39.0,1372.48,200
User_AB4849,58.0,2839.54,500
User_AB4361,23.0,3615.19,404
User_AB5371,39.0,3491.64,404
User_AB3855,33.0,2766.75,500
User_AB1277,37.0,3300.08,404
User_AB6064,24.0,2334.99,200
User_AB9735,34.0,546.06,500
User_AB9370,42.0,412.76,500
User_AB8736,63.0,941.35,500
User_AB5419,39.0,1525.83,404
User_AB4503,56.0,161.12,500
User_AB1823,50.0,1818.75,500
User_AB1416,59.0,333.86,500
User_AB5260,55.0,2688.03,404
User_AB2454,60.0,1968.27,200
User_AB1324,20.0,767.72,404
User_AB2361,36.0,4009.62,404
User_AB2525,60.0,1643.82,404
User_AB9481,54.0,3711.61,404
User_AB1235,24.0,618.91,Pending
User_AB5481,59.0,1218.74,500
User_AB2863,60.0,3900.3,404
User_AB5006,31.0,1055.82,500
User_AB8469,,1367.55,500
User_AB4124,24.0,4640.39,500
User_AB3171,33.0,257.38,200
User_AB9069,42.0,3452.01,500
User_AB3979,61.0,4180.6,200
User_AB9678,61.0,4323.51,200
User_AB6609,34.0,2058.26,200
User_AB3214,41.0,4406.53,200
User_AB9002,,1372.89,200
,41.0,3557.73,200
User_AB8948,,4212.13,404
User_AB8751,47.0,2242.58,200
User_AB5984,54.0,3982.31,200
User_AB6420,34.0,4273.1,200
User_AB1533,,3610.71,500
User_AB7073,58.0,344.41,404
User_AB6400,62.0,1901.27,200
User_AB1993,58.0,4648.22,500
User_AB8267,20.0,198.2,404
User_AB5505,29.0,4461.03,404
User_AB6867,34.0,3813.35,404
User_AB3294,29.0,2786.47,Pending
,30.0,1391.36,Error
User_AB6429,33.0,1816.67,404
User_AB6932,65.0,3793.77,404
User_AB8170,26.0,4831.3,200
User_AB9277,30.0,1167.6,500
User_AB1731,,3243.69,500
User_AB6724,25.0,1902.88,200
User_AB9801,,3755.99,500
,41.0,3001.85,200
User_AB8312,23.0,3299.37,404
User_AB1308,30.0,3246.21,404
User_AB1721,59.0,4936.5,500
User_AB8596,33.0,772.38,404
User_AB2239,35.0,4064.49,200
User_AB7748,45.0,3788.39,404
User_AB3571,39.0,1781.7,404
User_AB6217,33.0,3858.91,200
User_AB2587,41.0,3619.77,404
User_AB4767,58.0,443.49,200
User_AB3773,19.0,3182.2,404
User_AB2922,21.0,286.85,500
User_AB5232,19.0,228.0,500
User_AB2657,27.0,3214.72,404
User_AB4933,54.0,3217.68,OK
User_AB5770,47.0,4136.97,500
User_AB6088,,3375.1,200
User_AB4155,26.0,2480.84,200
,40.0,1869.51,200
User_AB1449,44.0,2603.13,500
User_AB7331,36.0,2152.09,200
User_AB5313,42.0,4466.83,500
User_AB6266,22.0,2849.85,500
User_AB5126,53.0,3284.8,200
,27.0,1684.37,404
User_AB7720,50.0,3369.14,200
User_AB9320,65.0,3368.42,500
User_AB4433,46.0,1527.9,500
User_AB1400,34.0,3157.57,404
User_AB5613,22.0,2342.47,200
User_AB6039,27.0,2925.87,200
User_AB6757,51.0,2461.38,200
User_AB4783,35.0,2418.43,200
User_AB7737,64.0,3403.22,200
User_AB6334,38.0,1454.67,500
User_AB9470,54.0,3346.63,404
User_AB6620,53.0,4041.48,404
User_AB9661,,2136.27,500
User_AB2530,37.0,757.66,500
User_AB4783,64.0,820.03,500
User_AB3790,27.0,856.63,404
User_AB6543,57.0,2938.05,500
User_AB6580,49.0,108.52,500
User_AB1799,31.0,375.86,404
User_AB8472,55.0,2273.05,404
User_AB8718,44.0,2349.75,200
User_AB7054,22.0,3357.11,404
User_AB8928,26.0,2116.87,200
User_AB9755,34.0,4801.11,404
User_AB3938,43.0,1590.37,404
User_AB7889,21.0,1534.16,200
User_AB2266,,1059.93,404
User_AB5415,37.0,2054.85,200
User_AB3171,29.0,1388.91,500
User_AB4737,21.0,3799.38,500
User_AB7316,65.0,4536.56,404
User_AB4819,25.0,1343.95,404
User_AB4117,21.0,1414.72,404
User_AB8120,33.0,4290.25,OK
User_AB8360,21.0,3050.87,200
User_AB5449,40.0,2239.5,404
User_AB6293,65.0,2866.32,500
User_AB2938,49.0,1665.77,200
User_AB9804,28.0,3465.37,200
User_AB8909,18.0,3981.37,500
User_AB3923,59.0,3454.6,500
User_AB8897,,2028.46,500
User_AB6530,24.0,1537.74,200
User_AB3157,40.0,357.84,200
User_AB2005,19.0,1035.8,200
User_AB6850,22.0,2357.87,500
User_AB5667,,2797.18,500
User_AB1264,26.0,711.85,404
User_AB5827,36.0,2715.8,500
User_AB9107,34.0,1398.52,404
User_AB1533,,3610.71,500
User_AB2537,30.0,1101.39,200
User_AB1426,20.0,2469.98,200
User_AB3928,40.0,2787.4,200
User_AB1986,23.0,1059.28,500
,51.0,3917.79,500
,21.0,127.41,200
User_AB7982,45.0,515.32,500
User_AB6292,,3644.91,Error
User_AB7831,20.0,2561.09,500
User_AB2912,43.0,1017.4,200
User_AB6832,24.0,1757.94,200
User_AB4532,46.0,758.89,500
User_AB3210,,2450.78,404
User_AB4412,40.0,1908.56,404
User_AB7051,64.0,2810.07,500
User_AB7893,21.0,4610.62,404
User_AB5763,64.0,2915.57,200
User_AB4356,22.0,1849.97,200
User_AB2181,42.0,1024.74,200
User_AB5807,52.0,1443.17,500
User_AB3287,46.0,2576.92,500
User_AB7194,49.0,2686.97,200
User_AB2097,58.0,4828.24,404
User_AB3958,44.0,269.72,200
User_AB1620,46.0,4565.35,200
User_AB8717,65.0,151.5,200
User_AB1626,29.0,205.08,404
User_AB2497,43.0,1236.51,200
User_AB7174,48.0,4594.52,200
User_AB6389,65.0,344.7,500
User_AB8924,35.0,299.67,200
User_AB9415,21.0,3567.31,500
User_AB8506,,3194.07,500
User_AB3081,,4224.19,404
User_AB6195,37.0,4253.68,200
User_AB8443,64.0,2675.93,500
User_AB8138,36.0,3471.99,404
User_AB8609,52.0,199.54,500
User_AB2092,25.0,2960.28,Error
User_AB4325,24.0,3431.66,404
User_AB1356,57.0,1958.89,200
User_AB5796,57.0,2723.12,500
User_AB7571,35.0,366.02,200
User_AB9021,36.0,4387.42,500
User_AB4701,18.0,1721.59,200
User_AB5524,39.0,2367.6,404
User_AB5432,41.0,3958.76,404
User_AB6289,43.0,4009.27,200
User_AB7451,39.0,1916.92,500
User_AB6607,43.0,582.38,200
User_AB2071,20.0,1287.79,404
User_AB1354,32.0,4332.92,404
User_AB4202,37.0,4738.4,404
User_AB8487,56.0,3394.71,404
User_AB9128,30.0,584.07,500
User_AB8011,52.0,4800.59,200
User_AB8914,61.0,1565.06,500
User_AB9177,62.0,2928.53,404
User_AB6871,32.0,2440.4,404
User_AB1708,23.0,1428.33,OK
User_AB8523,39.0,2044.47,404
User_AB5691,41.0,4684.17,Error
User_AB1656,26.0,4475.48,Pending
User_AB7323,57.0,1411.67,200
User_AB7139,54.0,2818.64,404
User_AB9387,34.0,523.68,500
User_AB6765,27.0,3551.36,500
User_AB1423,42.0,306.13,500
User_AB7678,29.0,755.48,404
User_AB4546,19.0,1231.97,200
User_AB4988,61.0,2826.2,500
User_AB5075,47.0,4478.77,404
User_AB3059,58.0,2933.61,200
User_AB9814,26.0,4569.0,404
User_AB3779,64.0,4945.33,200
User_AB3173,25.0,4970.01,200
User_AB8432,54.0,4881.55,404
User_AB2472,64.0,1871.34,500
User_AB1528,62.0,4530.69,404
User_AB5543,,1466.02,200
User_AB1364,59.0,1710.28,500
User_AB5010,24.0,2030.04,200
,26.0,3068.02,200
User_AB3529,36.0,1528.91,200
User_AB4855,,2406.72,200
User_AB9846,51.0,1173.35,500
User_AB1690,45.0,1250.84,200
User_AB2480,47.0,3834.91,OK
User_AB3561,53.0,2910.73,200
User_AB6166,49.0,3145.25,200
User_AB5171,24.0,4212.47,404
User_AB1579,34.0,305.24,404
User_AB2724,,980.05,404
,65.0,1022.4,200
User_AB7521,58.0,1064.36,404
User_AB9254,30.0,4964.71,404
User_AB9094,27.0,1630.64,500
User_AB5671,35.0,3213.66,404
User_AB2916,41.0,882.87,500
User_AB6114,27.0,2895.65,404
User_AB6881,65.0,4351.08,500
User_AB5303,49.0,2647.8,200
User_AB5702,31.0,1656.55,404
User_AB6531,31.0,1779.98,500
User_AB1597,24.0,4874.16,404
User_AB7010,33.0,3688.15,200
User_AB2418,46.0,2466.78,500
User_AB6310,58.0,4054.65,Pending
User_AB1176,35.0,3936.46,404
User_AB4140,18.0,3389.75,500
User_AB1609,48.0,266.78,200
User_AB5058,37.0,4803.79,200
User_AB4963,49.0,2953.33,500
User_AB1703,43.0,2608.23,404
User_AB6283,52.0,1548.09,Error
User_AB6893,22.0,2012.19,500
,58.0,2198.63,500
,,4574.55,500
User_AB4712,28.0,2754.31,200
User_AB3744,52.0,4717.99,200
User_AB7885,53.0,2306.56,OK
User_AB7963,59.0,566.42,500
User_AB7614,46.0,1490.55,200
User_AB1586,44.0,1048.23,500
User_AB8071,63.0,4807.22,200
User_AB4061,31.0,1950.94,404
User_AB3253,29.0,899.16,500
User_AB3717,37.0,1434.23,200
User_AB3539,19.0,2951.5,404
User_AB9548,48.0,1699.63,500
User_AB1602,,4252.03,404
User_AB7518,24.0,1289.15,200
User_AB5662,39.0,4629.41,200
,21.0,3295.93,500
User_AB1516,63.0,4024.98,404
User_AB8520,35.0,2040.52,200
User_AB9985,39.0,2423.61,200
,29.0,1214.38,404
User_AB9532,46.0,1617.5,OK
User_AB3339,,1926.54,500
User_AB9135,53.0,3579.55,500
User_AB8272,36.0,932.73,404
User_AB7446,51.0,1997.31,500
User_AB6371,55.0,2705.96,200
User_AB6865,35.0,970.19,404
User_AB3394,51.0,2843.1,200
User_AB1438,38.0,3344.36,500
User_AB3760,29.0,4014.18,404
User_AB7890,53.0,4639.71,500
User_AB1213,47.0,1473.11,500
User_AB2900,55.0,624.85,200
User_AB1666,58.0,2886.22,500
User_AB3921,52.0,1963.58,200
User_AB3504,35.0,2845.36,500
User_AB3496,53.0,4661.12,404
User_AB2049,21.0,4710.65,200
User_AB2097,20.0,4511.76,500
User_AB4463,60.0,3131.12,404
User_AB8704,,662.52,404
User_AB3505,48.0,2165.07,404
User_AB9998,34.0,1770.96,404
User_AB7651,64.0,2630.41,500
User_AB4765,59.0,1939.57,200
User_AB1011,32.0,1286.75,500
User_AB5785,,1998.01,500
User_AB4637,22.0,4656.67,200
User_AB3615,63.0,993.92,200
User_AB6399,30.0,2936.26,404
User_AB4443,61.0,3727.09,404
User_AB6785,,735.64,500
User_AB8160,47.0,2744.86,404
User_AB8236,58.0,4794.31,404
User_AB6856,,926.94,200
User_AB7323,46.0,3533.76,200
User_AB3595,20.0,897.42,404
User_AB8608,60.0,472.09,404
User_AB7171,,3125.21,500
User_AB2478,65.0,4815.05,500
User_AB2031,48.0,1938.03,404
User_AB8306,44.0,3587.02,404
User_AB9296,22.0,4210.88,500
User_AB7620,53.0,4718.69,200
User_AB1012,35.0,860.51,OK
User_AB7502,45.0,962.66,200
User_AB3143,57.0,4491.28,404
User_AB3219,25.0,2450.8,404
User_AB8490,53.0,4383.0,500
User_AB4236,65.0,1494.9,500
User_AB4079,46.0,2654.32,200
User_AB1115,27.0,2002.46,200
User_AB4304,,907.09,404
User_AB5873,38.0,4697.26,404
User_AB4287,62.0,4887.61,500
User_AB1829,33.0,3501.32,404
User_AB6868,41.0,3993.74,404
User_AB9352,35.0,1404.74,404
User_AB1401,44.0,2077.69,200
User_AB4716,49.0,2704.75,200
User_AB1680,64.0,764.19,500
User_AB2085,,4845.19,500
User_AB8743,29.0,1172.02,200
User_AB3228,63.0,616.68,500
User_AB6699,55.0,2684.55,500
User_AB3308,59.0,4652.44,200
User_AB9754,62.0,4399.51,200
User_AB3786,61.0,992.94,OK
User_AB6915,65.0,3691.24,200
User_AB9349,24.0,1962.59,500
User_AB9895,37.0,2539.7,404
User_AB3270,20.0,4887.57,200
User_AB2994,,927.42,200
User_AB3538,42.0,2657.54,404
User_AB5462,21.0,1376.31,200
User_AB3773,33.0,3211.3,500
User_AB5087,29.0,1961.74,200
User_AB2926,24.0,3776.45,200
